"LibraryName","SampleID","SRA_Accession","Amplicon","Site","Cultivar","Compartment","Replicate","Time","TreeID"
"1-ASB-LI-FL-1","A_Liberty_Flower_1","SRR28147267","16S","A","Liberty","Flower",1,"May","A_Liberty_1"
"1-ASB-LI-FL-1","A_Liberty_Flower_1","SRR28148447","ITS","A","Liberty","Flower",1,"May","A_Liberty_1"
"1-ASB-LI-FL-2","A_Liberty_Flower_2","SRR28147232","16S","A","Liberty","Flower",2,"May","A_Liberty_2"
"1-ASB-LI-FL-2","A_Liberty_Flower_2","SRR28148436","ITS","A","Liberty","Flower",2,"May","A_Liberty_2"
"1-ASB-LI-FL-3","A_Liberty_Flower_3","SRR28147221","16S","A","Liberty","Flower",3,"May","A_Liberty_3"
"1-ASB-LI-FL-3","A_Liberty_Flower_3","SRR28148400","ITS","A","Liberty","Flower",3,"May","A_Liberty_3"
"1-ASB-LI-FL-4","A_Liberty_Flower_4","SRR28147139","16S","A","Liberty","Flower",4,"May","A_Liberty_4"
"1-ASB-LI-FL-4","A_Liberty_Flower_4","SRR28148390","ITS","A","Liberty","Flower",4,"May","A_Liberty_4"
"1-ASB-LI-FL-5","A_Liberty_Flower_5","SRR28147128","16S","A","Liberty","Flower",5,"May","A_Liberty_5"
"1-ASB-LI-FL-5","A_Liberty_Flower_5","SRR28148354","ITS","A","Liberty","Flower",5,"May","A_Liberty_5"
"1-ASB-LI-LE-1","A_Liberty_Leaf_1","SRR28147212","16S","A","Liberty","Leaf",1,"May","A_Liberty_1"
"1-ASB-LI-LE-1","A_Liberty_Leaf_1","SRR28148347","ITS","A","Liberty","Leaf",1,"May","A_Liberty_1"
"1-ASB-LI-LE-2","A_Liberty_Leaf_2","SRR28147201","16S","A","Liberty","Leaf",2,"May","A_Liberty_2"
"1-ASB-LI-LE-2","A_Liberty_Leaf_2","SRR28148309","ITS","A","Liberty","Leaf",2,"May","A_Liberty_2"
"1-ASB-LI-LE-3","A_Liberty_Leaf_3","SRR28147190","16S","A","Liberty","Leaf",3,"May","A_Liberty_3"
"1-ASB-LI-LE-3","A_Liberty_Leaf_3","SRR28148298","ITS","A","Liberty","Leaf",3,"May","A_Liberty_3"
"1-ASB-LI-LE-4","A_Liberty_Leaf_4","SRR28147179","16S","A","Liberty","Leaf",4,"May","A_Liberty_4"
"1-ASB-LI-LE-4","A_Liberty_Leaf_4","SRR28148419","ITS","A","Liberty","Leaf",4,"May","A_Liberty_4"
"1-ASB-LI-LE-5","A_Liberty_Leaf_5","SRR28147177","16S","A","Liberty","Leaf",5,"May","A_Liberty_5"
"1-ASB-LI-LE-5","A_Liberty_Leaf_5","SRR28148422","ITS","A","Liberty","Leaf",5,"May","A_Liberty_5"
"1-ASB-PR-FL-1","A_Paulared_Flower_1","SRR28147175","16S","A","Paulared","Flower",1,"May","A_Paulared_1"
"1-ASB-PR-FL-1","A_Paulared_Flower_1","SRR28148417","ITS","A","Paulared","Flower",1,"May","A_Paulared_1"
"1-ASB-PR-FL-2","A_Paulared_Flower_2","SRR28147174","16S","A","Paulared","Flower",2,"May","A_Paulared_2"
"1-ASB-PR-FL-2","A_Paulared_Flower_2","SRR28148416","ITS","A","Paulared","Flower",2,"May","A_Paulared_2"
"1-ASB-PR-FL-3","A_Paulared_Flower_3","SRR28147173","16S","A","Paulared","Flower",3,"May","A_Paulared_3"
"1-ASB-PR-FL-3","A_Paulared_Flower_3","SRR28148415","ITS","A","Paulared","Flower",3,"May","A_Paulared_3"
"1-ASB-PR-FL-4","A_Paulared_Flower_4","SRR28147172","16S","A","Paulared","Flower",4,"May","A_Paulared_4"
"1-ASB-PR-FL-4","A_Paulared_Flower_4","SRR28148414","ITS","A","Paulared","Flower",4,"May","A_Paulared_4"
"1-ASB-PR-FL-5","A_Paulared_Flower_5","SRR28147266","16S","A","Paulared","Flower",5,"May","A_Paulared_5"
"1-ASB-PR-FL-5","A_Paulared_Flower_5","SRR28148413","ITS","A","Paulared","Flower",5,"May","A_Paulared_5"
"1-ASB-PR-LE-1","A_Paulared_Leaf_1","SRR28147265","16S","A","Paulared","Leaf",1,"May","A_Paulared_1"
"1-ASB-PR-LE-1","A_Paulared_Leaf_1","SRR28148412","ITS","A","Paulared","Leaf",1,"May","A_Paulared_1"
"1-ASB-PR-LE-2","A_Paulared_Leaf_2","SRR28147264","16S","A","Paulared","Leaf",2,"May","A_Paulared_2"
"1-ASB-PR-LE-2","A_Paulared_Leaf_2","SRR28148411","ITS","A","Paulared","Leaf",2,"May","A_Paulared_2"
"1-ASB-PR-LE-3","A_Paulared_Leaf_3","SRR28147263","16S","A","Paulared","Leaf",3,"May","A_Paulared_3"
"1-ASB-PR-LE-3","A_Paulared_Leaf_3","SRR28148410","ITS","A","Paulared","Leaf",3,"May","A_Paulared_3"
"1-ASB-PR-LE-4","A_Paulared_Leaf_4","SRR28147262","16S","A","Paulared","Leaf",4,"May","A_Paulared_4"
"1-ASB-PR-LE-4","A_Paulared_Leaf_4","SRR28148409","ITS","A","Paulared","Leaf",4,"May","A_Paulared_4"
"1-ASB-PR-LE-5","A_Paulared_Leaf_5","SRR28147261","16S","A","Paulared","Leaf",5,"May","A_Paulared_5"
"1-ASB-PR-LE-5","A_Paulared_Leaf_5","SRR28148408","ITS","A","Paulared","Leaf",5,"May","A_Paulared_5"
"1-PMB-CL-FL-1","B_Cortland_Flower_1","SRR28147259","16S","B","Cortland","Flower",1,"May","B_Cortland_1"
"1-PMB-CL-FL-1","B_Cortland_Flower_1","SRR28148406","ITS","B","Cortland","Flower",1,"May","B_Cortland_1"
"1-PMB-CL-FL-2","B_Cortland_Flower_2","SRR28147258","16S","B","Cortland","Flower",2,"May","B_Cortland_2"
"1-PMB-CL-FL-2","B_Cortland_Flower_2","SRR28148405","ITS","B","Cortland","Flower",2,"May","B_Cortland_2"
"1-PMB-CL-FL-3","B_Cortland_Flower_3","SRR28147257","16S","B","Cortland","Flower",3,"May","B_Cortland_3"
"1-PMB-CL-FL-3","B_Cortland_Flower_3","SRR28148404","ITS","B","Cortland","Flower",3,"May","B_Cortland_3"
"1-PMB-CL-FL-4","B_Cortland_Flower_4","SRR28147256","16S","B","Cortland","Flower",4,"May","B_Cortland_4"
"1-PMB-CL-FL-4","B_Cortland_Flower_4","SRR28148403","ITS","B","Cortland","Flower",4,"May","B_Cortland_4"
"1-PMB-CL-FL-5","B_Cortland_Flower_5","SRR28147255","16S","B","Cortland","Flower",5,"May","B_Cortland_5"
"1-PMB-CL-FL-5","B_Cortland_Flower_5","SRR28148402","ITS","B","Cortland","Flower",5,"May","B_Cortland_5"
"1-PMB-CL-LE-1","B_Cortland_Leaf_1","SRR28147254","16S","B","Cortland","Leaf",1,"May","B_Cortland_1"
"1-PMB-CL-LE-1","B_Cortland_Leaf_1","SRR28148401","ITS","B","Cortland","Leaf",1,"May","B_Cortland_1"
"1-PMB-CL-LE-2","B_Cortland_Leaf_2","SRR28147253","16S","B","Cortland","Leaf",2,"May","B_Cortland_2"
"1-PMB-CL-LE-2","B_Cortland_Leaf_2","SRR28148381","ITS","B","Cortland","Leaf",2,"May","B_Cortland_2"
"1-PMB-CL-LE-3","B_Cortland_Leaf_3","SRR28147252","16S","B","Cortland","Leaf",3,"May","B_Cortland_3"
"1-PMB-CL-LE-3","B_Cortland_Leaf_3","SRR28148380","ITS","B","Cortland","Leaf",3,"May","B_Cortland_3"
"1-PMB-CL-LE-4","B_Cortland_Leaf_4","SRR28147251","16S","B","Cortland","Leaf",4,"May","B_Cortland_4"
"1-PMB-CL-LE-4","B_Cortland_Leaf_4","SRR28148379","ITS","B","Cortland","Leaf",4,"May","B_Cortland_4"
"1-PMB-CL-LE-5","B_Cortland_Leaf_5","SRR28147250","16S","B","Cortland","Leaf",5,"May","B_Cortland_5"
"1-PMB-CL-LE-5","B_Cortland_Leaf_5","SRR28148378","ITS","B","Cortland","Leaf",5,"May","B_Cortland_5"
"1-PMB-LI-FL-1","B_Liberty_Flower_1","SRR28147248","16S","B","Liberty","Flower",1,"May","B_Liberty_1"
"1-PMB-LI-FL-1","B_Liberty_Flower_1","SRR28148376","ITS","B","Liberty","Flower",1,"May","B_Liberty_1"
"1-PMB-LI-FL-2","B_Liberty_Flower_2","SRR28147247","16S","B","Liberty","Flower",2,"May","B_Liberty_2"
"1-PMB-LI-FL-2","B_Liberty_Flower_2","SRR28148375","ITS","B","Liberty","Flower",2,"May","B_Liberty_2"
"1-PMB-LI-FL-3","B_Liberty_Flower_3","SRR28147246","16S","B","Liberty","Flower",3,"May","B_Liberty_3"
"1-PMB-LI-FL-3","B_Liberty_Flower_3","SRR28148374","ITS","B","Liberty","Flower",3,"May","B_Liberty_3"
"1-PMB-LI-FL-4","B_Liberty_Flower_4","SRR28147245","16S","B","Liberty","Flower",4,"May","B_Liberty_4"
"1-PMB-LI-FL-4","B_Liberty_Flower_4","SRR28148373","ITS","B","Liberty","Flower",4,"May","B_Liberty_4"
"1-PMB-LI-FL-5","B_Liberty_Flower_5","SRR28147244","16S","B","Liberty","Flower",5,"May","B_Liberty_5"
"1-PMB-LI-FL-5","B_Liberty_Flower_5","SRR28148372","ITS","B","Liberty","Flower",5,"May","B_Liberty_5"
"1-PMB-LI-LE-1","B_Liberty_Leaf_1","SRR28147243","16S","B","Liberty","Leaf",1,"May","B_Liberty_1"
"1-PMB-LI-LE-1","B_Liberty_Leaf_1","SRR28148371","ITS","B","Liberty","Leaf",1,"May","B_Liberty_1"
"1-PMB-LI-LE-2","B_Liberty_Leaf_2","SRR28147171","16S","B","Liberty","Leaf",2,"May","B_Liberty_2"
"1-PMB-LI-LE-2","B_Liberty_Leaf_2","SRR28148370","ITS","B","Liberty","Leaf",2,"May","B_Liberty_2"
"1-PMB-LI-LE-3","B_Liberty_Leaf_3","SRR28147170","16S","B","Liberty","Leaf",3,"May","B_Liberty_3"
"1-PMB-LI-LE-3","B_Liberty_Leaf_3","SRR28148369","ITS","B","Liberty","Leaf",3,"May","B_Liberty_3"
"1-PMB-LI-LE-4","B_Liberty_Leaf_4","SRR28147169","16S","B","Liberty","Leaf",4,"May","B_Liberty_4"
"1-PMB-LI-LE-4","B_Liberty_Leaf_4","SRR28148368","ITS","B","Liberty","Leaf",4,"May","B_Liberty_4"
"1-PMB-LI-LE-5","B_Liberty_Leaf_5","SRR28147168","16S","B","Liberty","Leaf",5,"May","B_Liberty_5"
"1-PMB-LI-LE-5","B_Liberty_Leaf_5","SRR28148367","ITS","B","Liberty","Leaf",5,"May","B_Liberty_5"
"1-PMB-PR-FL-1","B_Paulared_Flower_1","SRR28147166","16S","B","Paulared","Flower",1,"May","B_Paulared_1"
"1-PMB-PR-FL-1","B_Paulared_Flower_1","SRR28148365","ITS","B","Paulared","Flower",1,"May","B_Paulared_1"
"1-PMB-PR-FL-2","B_Paulared_Flower_2","SRR28147165","16S","B","Paulared","Flower",2,"May","B_Paulared_2"
"1-PMB-PR-FL-2","B_Paulared_Flower_2","SRR28148364","ITS","B","Paulared","Flower",2,"May","B_Paulared_2"
"1-PMB-PR-FL-3","B_Paulared_Flower_3","SRR28147164","16S","B","Paulared","Flower",3,"May","B_Paulared_3"
"1-PMB-PR-FL-3","B_Paulared_Flower_3","SRR28148363","ITS","B","Paulared","Flower",3,"May","B_Paulared_3"
"1-PMB-PR-FL-4","B_Paulared_Flower_4","SRR28147163","16S","B","Paulared","Flower",4,"May","B_Paulared_4"
