"SampleID","Shannon","Shannon_SD","LibraryName","SRA_Accession","Amplicon","Site","Cultivar","Compartment","Replicate","Time","TreeID"
"SRR28147193",3.42692052353752,0.0226143992595366,"3-VBS-CL-LE-3","SRR28147193","16S","C","Cortland","Leaf",3,"August","C_Cortland_3"
"SRR28147194",3.18060862911255,0.0234804695638981,"3-VBS-CL-LE-2","SRR28147194","16S","C","Cortland","Leaf",2,"August","C_Cortland_2"
"SRR28147195",3.21732243970707,0.0239978138855702,"3-VBS-CL-LE-1","SRR28147195","16S","C","Cortland","Leaf",1,"August","C_Cortland_1"
"SRR28147196",3.9184948399781,0.0175343701693396,"3-PMB-PR-LE-5","SRR28147196","16S","B","Paulared","Leaf",5,"August","B_Paulared_5"
"SRR28147197",3.51457204535817,0.0233802334412,"3-PMB-PR-LE-4","SRR28147197","16S","B","Paulared","Leaf",4,"August","B_Paulared_4"
"SRR28147198",3.24637871048427,0.0177962127590433,"3-PMB-PR-LE-3","SRR28147198","16S","B","Paulared","Leaf",3,"August","B_Paulared_3"
"SRR28147199",3.24199092249836,0.0199929526297709,"3-PMB-PR-LE-2","SRR28147199","16S","B","Paulared","Leaf",2,"August","B_Paulared_2"
"SRR28147200",3.24644708621176,0.0170040263177732,"3-PMB-PR-LE-1","SRR28147200","16S","B","Paulared","Leaf",1,"August","B_Paulared_1"
"SRR28147201",3.52151267304785,0.0262387665460008,"1-ASB-LI-LE-2","SRR28147201","16S","A","Liberty","Leaf",2,"May","A_Liberty_2"
"SRR28147202",3.69856902439122,0.018570357425239,"3-PMB-LI-LE-5","SRR28147202","16S","B","Liberty","Leaf",5,"August","B_Liberty_5"
"SRR28147203",3.69460593655519,0.0210832278075625,"3-PMB-LI-LE-4","SRR28147203","16S","B","Liberty","Leaf",4,"August","B_Liberty_4"
"SRR28147204",3.22685048262772,0.0211301816118386,"3-PMB-LI-LE-3","SRR28147204","16S","B","Liberty","Leaf",3,"August","B_Liberty_3"
"SRR28147205",4.05087626444742,0.0239385110745929,"3-PMB-LI-LE-2","SRR28147205","16S","B","Liberty","Leaf",2,"August","B_Liberty_2"
"SRR28147206",4.18189943073127,0.0200741155197652,"3-PMB-LI-LE-1","SRR28147206","16S","B","Liberty","Leaf",1,"August","B_Liberty_1"
"SRR28147207",3.8685755289264,0.0152836568680002,"3-PMB-CL-LE-5","SRR28147207","16S","B","Cortland","Leaf",5,"August","B_Cortland_5"
"SRR28147208",2.69867184453331,0.0233361665276523,"3-PMB-CL-LE-4","SRR28147208","16S","B","Cortland","Leaf",4,"August","B_Cortland_4"
"SRR28147209",3.14489000438011,0.0181365944227366,"3-PMB-CL-LE-3","SRR28147209","16S","B","Cortland","Leaf",3,"August","B_Cortland_3"
"SRR28147210",3.52834177062287,0.0265831139139451,"3-PMB-CL-LE-2","SRR28147210","16S","B","Cortland","Leaf",2,"August","B_Cortland_2"
"SRR28147211",3.70519713464272,0.0245794719215213,"3-PMB-CL-LE-1","SRR28147211","16S","B","Cortland","Leaf",1,"August","B_Cortland_1"
"SRR28147212",3.98370000856925,0.0255455754252446,"1-ASB-LI-LE-1","SRR28147212","16S","A","Liberty","Leaf",1,"May","A_Liberty_1"
"SRR28147213",3.1141406550195,0.0190969720423534,"3-ASB-PR-LE-5","SRR28147213","16S","A","Paulared","Leaf",5,"August","A_Paulared_5"
"SRR28147214",2.95237823301736,0.0227047612723578,"3-ASB-PR-LE-4","SRR28147214","16S","A","Paulared","Leaf",4,"August","A_Paulared_4"
"SRR28147215",3.25711511873887,0.0236409632861924,"3-ASB-PR-LE-3","SRR28147215","16S","A","Paulared","Leaf",3,"August","A_Paulared_3"
"SRR28147216",3.4087117655463,0.0190854868425772,"3-ASB-PR-LE-2","SRR28147216","16S","A","Paulared","Leaf",2,"August","A_Paulared_2"
"SRR28147217",3.39875697277386,0.0218622533782858,"3-ASB-PR-LE-1","SRR28147217","16S","A","Paulared","Leaf",1,"August","A_Paulared_1"
"SRR28147218",3.63540614560035,0.0226626920031185,"3-ASB-LI-LE-5","SRR28147218","16S","A","Liberty","Leaf",5,"August","A_Liberty_5"
"SRR28147219",2.77984148189167,0.0212618272154326,"2-VBS-CL-LE-2","SRR28147219","16S","C","Cortland","Leaf",2,"July","C_Cortland_2"
"SRR28147220",3.28751726577223,0.0277698816847692,"2-VBS-CL-LE-1","SRR28147220","16S","C","Cortland","Leaf",1,"July","C_Cortland_1"
"SRR28147222",5.09352477444112,0.0204228012589161,"2-PMB-PR-LE-5","SRR28147222","16S","B","Paulared","Leaf",5,"July","B_Paulared_5"
"SRR28147223",4.55780734252371,0.0223869757872741,"2-PMB-PR-LE-4","SRR28147223","16S","B","Paulared","Leaf",4,"July","B_Paulared_4"
"SRR28147224",3.99547776410275,0.0146604402519124,"2-PMB-PR-LE-3","SRR28147224","16S","B","Paulared","Leaf",3,"July","B_Paulared_3"
"SRR28147225",4.41803215230352,0.0241390923518154,"2-PMB-PR-LE-2","SRR28147225","16S","B","Paulared","Leaf",2,"July","B_Paulared_2"
"SRR28147226",3.88117823768834,0.0309947416253885,"2-PMB-PR-LE-1","SRR28147226","16S","B","Paulared","Leaf",1,"July","B_Paulared_1"
"SRR28147227",4.73347651578001,0.0245046667540654,"2-PMB-LI-LE-5","SRR28147227","16S","B","Liberty","Leaf",5,"July","B_Liberty_5"
"SRR28147228",4.68155697409081,0.0223536012959188,"2-PMB-LI-LE-4","SRR28147228","16S","B","Liberty","Leaf",4,"July","B_Liberty_4"
"SRR28147229",4.71416880643536,0.0210245717483647,"2-PMB-LI-LE-3","SRR28147229","16S","B","Liberty","Leaf",3,"July","B_Liberty_3"
"SRR28147230",4.5151987150738,0.0199877992155239,"2-PMB-LI-LE-2","SRR28147230","16S","B","Liberty","Leaf",2,"July","B_Liberty_2"
"SRR28147231",4.44127288955465,0.0200433364171366,"2-PMB-LI-LE-1","SRR28147231","16S","B","Liberty","Leaf",1,"July","B_Liberty_1"
"SRR28147233",4.45035281388998,0.0231120564962305,"2-PMB-CL-LE-5","SRR28147233","16S","B","Cortland","Leaf",5,"July","B_Cortland_5"
"SRR28147234",4.80242231506091,0.0227306726922716,"2-PMB-CL-LE-4","SRR28147234","16S","B","Cortland","Leaf",4,"July","B_Cortland_4"
"SRR28147235",4.00436513326339,0.0282697193405221,"2-PMB-CL-LE-3","SRR28147235","16S","B","Cortland","Leaf",3,"July","B_Cortland_3"
"SRR28147236",4.68375085111878,0.0171996324767277,"2-PMB-CL-LE-2","SRR28147236","16S","B","Cortland","Leaf",2,"July","B_Cortland_2"
"SRR28147237",3.4461406449647,0.0278463142818788,"2-PMB-CL-LE-1","SRR28147237","16S","B","Cortland","Leaf",1,"July","B_Cortland_1"
"SRR28147238",4.04989042387867,0.0161109887488142,"2-ASB-PR-LE-5","SRR28147238","16S","A","Paulared","Leaf",5,"July","A_Paulared_5"
"SRR28147239",3.88029633461928,0.0242157252331512,"2-ASB-PR-LE-4","SRR28147239","16S","A","Paulared","Leaf",4,"July","A_Paulared_4"
"SRR28147240",4.11979007767886,0.0189968469717895,"2-ASB-PR-LE-3","SRR28147240","16S","A","Paulared","Leaf",3,"July","A_Paulared_3"
"SRR28147241",4.00263023600129,0.0207542715416838,"2-ASB-PR-LE-2","SRR28147241","16S","A","Paulared","Leaf",2,"July","A_Paulared_2"
"SRR28147242",4.29183545222385,0.0255980627281318,"2-ASB-PR-LE-1","SRR28147242","16S","A","Paulared","Leaf",1,"July","A_Paulared_1"
"SRR28147243",4.93290250842717,0.021917780336921,"1-PMB-LI-LE-1","SRR28147243","16S","B","Liberty","Leaf",1,"May","B_Liberty_1"
"SRR28147250",3.93969696409301,0.00807109418602226,"1-PMB-CL-LE-5","SRR28147250","16S","B","Cortland","Leaf",5,"May","B_Cortland_5"
"SRR28147251",4.41248083279123,0.0227202927596986,"1-PMB-CL-LE-4","SRR28147251","16S","B","Cortland","Leaf",4,"May","B_Cortland_4"
"SRR28147252",5.1362337243928,0.0265454738772253,"1-PMB-CL-LE-3","SRR28147252","16S","B","Cortland","Leaf",3,"May","B_Cortland_3"
"SRR28147253",4.33763091073745,0.0286641621374396,"1-PMB-CL-LE-2","SRR28147253","16S","B","Cortland","Leaf",2,"May","B_Cortland_2"
"SRR28147254",4.33497548116956,0.0277161410013906,"1-PMB-CL-LE-1","SRR28147254","16S","B","Cortland","Leaf",1,"May","B_Cortland_1"
"SRR28147261",4.30678266301722,0.0146137224702315,"1-ASB-PR-LE-5","SRR28147261","16S","A","Paulared","Leaf",5,"May","A_Paulared_5"
"SRR28147262",3.86783687464402,0.0237053486423325,"1-ASB-PR-LE-4","SRR28147262","16S","A","Paulared","Leaf",4,"May","A_Paulared_4"
"SRR28147263",3.66670337430996,0.0231660018249032,"1-ASB-PR-LE-3","SRR28147263","16S","A","Paulared","Leaf",3,"May","A_Paulared_3"
"SRR28147264",3.8920592742507,0.0304676035399489,"1-ASB-PR-LE-2","SRR28147264","16S","A","Paulared","Leaf",2,"May","A_Paulared_2"
"SRR28147265",5.23959243771213,0.015385469121651,"1-ASB-PR-LE-1","SRR28147265","16S","A","Paulared","Leaf",1,"May","A_Paulared_1"
