"SampleID","Shannon","Shannon_SD","LibraryName","SRA_Accession","Amplicon","Site","Cultivar","Compartment","Replicate","Time","TreeID"
"SRR28148347",2.89044852068485,0.0135058909199157,"1-ASB-LI-LE-1","SRR28148347","ITS","A","Liberty","Leaf",1,"May","A_Liberty_1"
"SRR28148348",1.8239596584945,0.0167281629940962,"3-ASB-PR-LE-2","SRR28148348","ITS","A","Paulared","Leaf",2,"August","A_Paulared_2"
"SRR28148349",1.98581592156594,0.0181098774524118,"3-ASB-PR-LE-1","SRR28148349","ITS","A","Paulared","Leaf",1,"August","A_Paulared_1"
"SRR28148350",2.03437801339567,0.0181960844222546,"3-ASB-LI-LE-5","SRR28148350","ITS","A","Liberty","Leaf",5,"August","A_Liberty_5"
"SRR28148351",1.72736471447037,0.0205109263279154,"3-ASB-LI-LE-4","SRR28148351","ITS","A","Liberty","Leaf",4,"August","A_Liberty_4"
"SRR28148352",2.16440412906182,0.019162994298473,"3-ASB-LI-LE-2","SRR28148352","ITS","A","Liberty","Leaf",2,"August","A_Liberty_2"
"SRR28148353",2.23093610069291,0.0164850902146667,"3-ASB-LI-LE-1","SRR28148353","ITS","A","Liberty","Leaf",1,"August","A_Liberty_1"
"SRR28148355",2.0277882056144,0.0208213827941923,"3-ASB-LI-LE-3","SRR28148355","ITS","A","Liberty","Leaf",3,"August","A_Liberty_3"
"SRR28148356",1.93117117858914,0.0154922250183837,"3-ASB-CL-LE-5","SRR28148356","ITS","A","Cortland","Leaf",5,"August","A_Cortland_5"
"SRR28148357",2.96876309595868,0.0190254817781677,"1-PMB-PR-LE-3","SRR28148357","ITS","B","Paulared","Leaf",3,"May","B_Paulared_3"
"SRR28148358",1.90451886413364,0.0190828518607202,"3-ASB-CL-LE-4","SRR28148358","ITS","A","Cortland","Leaf",4,"August","A_Cortland_4"
"SRR28148359",1.41662100018742,0.016522589153238,"1-PMB-PR-LE-2","SRR28148359","ITS","B","Paulared","Leaf",2,"May","B_Paulared_2"
"SRR28148360",2.78351660007141,0.0133737049238867,"1-PMB-PR-LE-1","SRR28148360","ITS","B","Paulared","Leaf",1,"May","B_Paulared_1"
"SRR28148366",3.40797070748104,0.0127084414235438,"1-ASB-CL-LE-1","SRR28148366","ITS","A","Cortland","Leaf",1,"May","A_Cortland_1"
"SRR28148367",3.0657796356553,0.0172215127361385,"1-PMB-LI-LE-5","SRR28148367","ITS","B","Liberty","Leaf",5,"May","B_Liberty_5"
"SRR28148368",2.60587159215394,0.0175452335677848,"1-PMB-LI-LE-4","SRR28148368","ITS","B","Liberty","Leaf",4,"May","B_Liberty_4"
"SRR28148369",3.02697993537894,0.0163642206716723,"1-PMB-LI-LE-3","SRR28148369","ITS","B","Liberty","Leaf",3,"May","B_Liberty_3"
"SRR28148370",2.5785254941865,0.0181015573052919,"1-PMB-LI-LE-2","SRR28148370","ITS","B","Liberty","Leaf",2,"May","B_Liberty_2"
"SRR28148371",2.86665874895399,0.011662399030316,"1-PMB-LI-LE-1","SRR28148371","ITS","B","Liberty","Leaf",1,"May","B_Liberty_1"
"SRR28148378",2.41392067427333,0.0181291687931685,"1-PMB-CL-LE-5","SRR28148378","ITS","B","Cortland","Leaf",5,"May","B_Cortland_5"
"SRR28148379",2.76024635490362,0.016936394361118,"1-PMB-CL-LE-4","SRR28148379","ITS","B","Cortland","Leaf",4,"May","B_Cortland_4"
"SRR28148380",2.88239167791924,0.0162102210437858,"1-PMB-CL-LE-3","SRR28148380","ITS","B","Cortland","Leaf",3,"May","B_Cortland_3"
"SRR28148381",2.42342084922637,0.0157289931101402,"1-PMB-CL-LE-2","SRR28148381","ITS","B","Cortland","Leaf",2,"May","B_Cortland_2"
"SRR28148382",2.01371082308568,0.0178487003200897,"3-ASB-CL-LE-3","SRR28148382","ITS","A","Cortland","Leaf",3,"August","A_Cortland_3"
"SRR28148383",1.82106731098251,0.0181245739948858,"3-ASB-CL-LE-2","SRR28148383","ITS","A","Cortland","Leaf",2,"August","A_Cortland_2"
"SRR28148384",1.87496685760496,0.0176921912643109,"3-ASB-CL-LE-1","SRR28148384","ITS","A","Cortland","Leaf",1,"August","A_Cortland_1"
"SRR28148385",2.55604933368254,0.0164305794760729,"2-VBS-PR-LE-5","SRR28148385","ITS","C","Paulared","Leaf",5,"July","C_Paulared_5"
"SRR28148386",2.69244163316553,0.0161213448233883,"2-VBS-PR-LE-4","SRR28148386","ITS","C","Paulared","Leaf",4,"July","C_Paulared_4"
"SRR28148387",2.53657832993296,0.0113238768916794,"2-VBS-PR-LE-3","SRR28148387","ITS","C","Paulared","Leaf",3,"July","C_Paulared_3"
"SRR28148388",2.35072263388691,0.0152000485199567,"2-VBS-PR-LE-2","SRR28148388","ITS","C","Paulared","Leaf",2,"July","C_Paulared_2"
"SRR28148389",2.58773435246237,0.0171191518728469,"2-VBS-PR-LE-1","SRR28148389","ITS","C","Paulared","Leaf",1,"July","C_Paulared_1"
"SRR28148391",3.18880911288987,0.0174456359297473,"2-VBS-LI-LE-5","SRR28148391","ITS","C","Liberty","Leaf",5,"July","C_Liberty_5"
"SRR28148392",3.22245612179515,0.0170880343969082,"2-VBS-LI-LE-4","SRR28148392","ITS","C","Liberty","Leaf",4,"July","C_Liberty_4"
"SRR28148393",3.23244294446629,0.0183215143315624,"2-VBS-LI-LE-3","SRR28148393","ITS","C","Liberty","Leaf",3,"July","C_Liberty_3"
"SRR28148394",2.8679107943723,0.0198850474939662,"2-VBS-LI-LE-2","SRR28148394","ITS","C","Liberty","Leaf",2,"July","C_Liberty_2"
"SRR28148395",2.67639421990055,0.0209925666662164,"2-VBS-LI-LE-1","SRR28148395","ITS","C","Liberty","Leaf",1,"July","C_Liberty_1"
"SRR28148396",2.82987291118441,0.0134801814948768,"2-VBS-CL-LE-5","SRR28148396","ITS","C","Cortland","Leaf",5,"July","C_Cortland_5"
"SRR28148397",2.54162845939473,0.014095956843412,"2-VBS-CL-LE-4","SRR28148397","ITS","C","Cortland","Leaf",4,"July","C_Cortland_4"
"SRR28148398",3.07541406760223,0.0168490826491905,"2-VBS-CL-LE-3","SRR28148398","ITS","C","Cortland","Leaf",3,"July","C_Cortland_3"
